power2Size: 32
Color: 0 , upperR: 1  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 10, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 8 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 10, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 8 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 12, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 14, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 12, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 3  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 2  , upperC: 14, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 12, Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 8 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 10, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 8 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
